"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"2","_adolf_trump","Aw, @realDonaldTrump... does this mean you won't put me in a reeducation camp after all?  https://t.co/tTohz85KUS",1,0,0,-88.1084224,42.9764027
"3","_Dani_Hell_","RT @billjpiper: what say u @realDonaldTrump? Will u keep ur campaign promise 2 support medical marijuana &amp; let states decide?  https://t.coÖ",14,2,2,-76.6412712,39.0457549
"5","_hoodsy","RT @StephenColbart: Gary Cohn is COO &amp; President of Goldman Sachs. How exactly does that #draintheswamp @realDonaldTrump https://t.co/ecwn0Ö",29,0,0,-74.0059413,40.7127837
"6","_hoodsy","RT @nathanTbernard: So glad that Mr. @realDonaldTrump will #draintheswamp by adding Gary Cohn, Goldman Sachs COO &amp; Prez to his admin! httpsÖ",28,1,1,-74.0059413,40.7127837
"7","_hoodsy","RT @impressivLinda: Very sad that @realDonaldTrump added Goldman Sachs COO to his admin. Wanted to give Trump a chance. Pathetic. https://tÖ",25,-1,1,-74.0059413,40.7127837
"8","_hoodsy","RT @impressivSarah: Very pathetic that @realDonaldTrump made Goldman Sachs COO &amp; President part of his admin. Guess no #draintheswamp httpsÖ",25,-1,1,-74.0059413,40.7127837
"9","_hoodsy","RT @impressivTim: So... Gary Cohn, COO &amp; Presdient of Goldman Sachs is now in @realDonaldTrump admin. Thought this was #MAGA https://t.co/oÖ",20,0,0,-74.0059413,40.7127837
"10","_hoodsy","RT @impressivJane: Goldman president in the @realDonaldTrump administration, nice... https://t.co/AjhImxouCi",17,1,1,-74.0059413,40.7127837
"11","_hoodsy","RT @impressivDestin: Guess no more #draintheswamp Goldman President is now on @realDonaldTrump team https://t.co/kfndNB6Jy2",17,0,0,-74.0059413,40.7127837
"12","_hoodsy","RT @impressivLee: God, @realDonaldTrump is such a liar. Not going to #draintheswamp, Goldman President in admin. https://t.co/OtRgX6EWby",19,-1,1,-74.0059413,40.7127837
"14","_Proud_American","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: httpÖ",5266,1,1,-95.712891,37.09024
"15","_Rain7215","Good Morning @realDonaldTrump just wanted to let you know that you're still a piece of shit. Oh yeah fuck your racist followers too! #Trump",0,-1,1,-105.8700901,34.5199402
"17","1005FreshRadio","Eh... I think I'd rather see @realDonaldTrump on a new trivia game show called ""Stump The Trump!"" https://t.co/i27OeRlNC9",0,0,0,-78.319747,44.309058
"18","1043FreshRadio","Eh... I think I'd rather see @realDonaldTrump on a new trivia game show called ""Stump The Trump!""  https://t.co/xbbEungsVy",0,0,0,-76.4859544,44.2311717
"19","1045FreshRadio","Eh... I think I'd rather see @realDonaldTrump on a new trivia game show called ""Stump The Trump!"" https://t.co/J3N6EmiiJJ",0,0,0,-74.730345,45.0212762
"25","1EternalFamily","Just joined Twitter, asking President Trump: what will u do about all these awful assassinations of police officers?!?  @realDonaldTrump",0,0,0,-95.712891,37.09024
"32","1VoiceMatters","RT @HillarysAmerica: Recount attempts actually show @realDonaldTrump GAINING votes! https://t.co/cvFwmG1r3j",283,1,1,-95.712891,37.09024
"34","2msexton","RT @ScienceBasedMed: .@stevesilberman-@realDonaldTrump: Donít become the first anti-vaccine president 

via https://t.co/tGShC2yG0B

https:Ö",2,0,0,-82.9987942,39.9611755
"39","3DD50","RT @DeepakChopra: Sir @realDonaldTrump if you cyber bully individuals who disagree with you https://t.co/SN7D4KLIaI how will you ""Make AmerÖ",127,-2,2,-118.2436849,34.0522342
"40","4ever2runval96","RT @EricGreitens: .@nick_ayers would be a fantastic RNC chair - a great leader to work w/@realDonaldTrump to Make America Great Again! httpÖ",14,4,4,-80.8431267,35.2270869
"42","52fairway","AND @realDonaldTrump said he would be for American workers! TRUMP is a Sociopathic Lying FRAUD! https://t.co/UJgFhGNnVu",0,-1,1,-79.0192997,35.7595731
"43","52fairway","@realDonaldTrump TRUMP is Putin's PUSSY...  GRAB SNATCH and DON is Putin's Bitch! https://t.co/9QMaWaeMqX",0,0,0,-79.0192997,35.7595731
"48","987KissFM","RT @ABGray: @realDonaldTrump a 'reality star genius'? TV ratings tell different story https://t.co/tCmiIiM9Tz",1,1,1,-74.0059413,40.7127837
"54","AbbeyGregg","RT @johnlundin: Donald #Trump supporters express regret over their vote: 'He seems lost' | https://t.co/m4hXqbHRup @realDonaldTrump #NotMyPÖ",6,-1,1,-122.0838511,37.3860517
"58","abolish_trump","@TeamTrump @realDonaldTrump @AGScottPruitt 
.
Who fucking voted?
.
More bullshit like your failed Carrier 'Deal'
.
.
https://t.co/WpOdhM69bT",0,-2,2,-81.1637245,33.836081
"59","abolish_trump","@FoxNews @realDonaldTrump 
.
.
.
.
Yes Furher Trump
.
.
.
Fuck your LIES
.
.
https://t.co/WpOdhM69bT
.
.
.
.
.",0,0,0,-81.1637245,33.836081
"60","abolish_trump","@foxnewspolitics 
.
.
Hell yeah he did!
.
.
The @realDonaldTrump LOST THE POPULAR VOTE
.
.
He is #Corrupt
.
.
https://t.co/WpOdhM69bT
.
.
.",0,-1,1,-81.1637245,33.836081
"61","abolish_trump","@FoxNews @MeghanMcCain @realDonaldTrump 
.
.
.
.
.
.
.
Fucking joke of a 'news' station
.
.
https://t.co/WpOdhM69bT
.
.
.
.
.
.
.
.",0,-2,2,-81.1637245,33.836081
"62","abolish_trump","RT @DFAaction: Tell the #Senate to block @realDonaldTrump's cabinet nominees. https://t.co/DC8J40WxHZ #UniteBlue #Election2016 #Trump",6,1,1,-81.1637245,33.836081
"63","abolish_trump","Thank you @twitter for letting @realDonaldTrump keep his account
.
.
Would you not ban any other user that did thesÖ https://t.co/r7l8pw8c04",0,1,1,-81.1637245,33.836081
"66","actorsjustice","RT @HumaneArtists: .@CWAUnion @AFTunion @unitehere @UAW @realDonaldTrump says @Carrier workers should have worked harder https://t.co/6SFbqÖ",22,1,1,-118.2436849,34.0522342
"71","Adrian_Benepe","Will Rogers of @tpl_org on @realDonaldTrump and the Legacy of Teddy Roosevelt https://t.co/ec42HdC31s via @HuffPostBlog @npca",0,0,0,-74.0059413,40.7127837
"73","afarlosangeles","RT @HumaneArtists: .@CWAUnion @AFTunion @unitehere @UAW @realDonaldTrump says @Carrier workers should have worked harder https://t.co/6SFbqÖ",22,1,1,-118.2436849,34.0522342
"76","agraddi","RT @Jeffhull71: .@realDonaldTrump  pays his own businesses $3 million in days surrounding election #ethics #morals #draintheswamp  https://Ö",3,0,0,-80.8431267,35.2270869
"77","agraddi","RT @smdxn: My new favorite site: corrupt.af.  #p2 #CrookedDonald #NotMyPresident (cc: @RealDonaldTrump) https://t.co/bmYhm4nHVe",1,1,1,-80.8431267,35.2270869
"78","agraddi","RT @AlexSanz: Big business warns @realDonaldTrump against mass deportation. https://t.co/fE0H5aIZnH",1,0,0,-80.8431267,35.2270869
"79","agraddi","RT @WonderWoman412: That @TIME cover calling @realDonaldTrump pres of DIVIDED states of America is TOTALLY right. Trump trying to divide woÖ",1,2,2,-80.8431267,35.2270869
"80","agraddi","RT @JasonSmithNY: He doesn't care. @realDonaldTrump unusually reluctant to hear intelligence: officials #MAGA #DontheCon https://t.co/8vZ1AÖ",1,-1,1,-80.8431267,35.2270869
"81","agraddi","RT @mnhanson: .@realdonaldtrump Sanders on Trump pick: This is how a rigged economy works https://t.co/U2WhXKaA9w",1,2,2,-80.8431267,35.2270869
"82","agraddi","RT @biblioteq_tress: Trump has never apologized. @realDonaldTrump https://t.co/jmkJBEHPpx",2,1,1,-80.8431267,35.2270869
"83","agraddi","RT @DFAaction: Tell the #Senate to block @realDonaldTrump's cabinet nominees. https://t.co/DC8J40WxHZ #UniteBlue #Election2016 #Trump",6,1,1,-80.8431267,35.2270869
"87","AJMcarronsTatto","@BPAnderson1164 @rrhoop @eldonko_phd @MrTommyCampbell @realDonaldTrump Sessions will. Trump will let him because of her actions",0,1,1,-86.902298,32.3182314
"88","AKMuskie","RT @politico: FedEx chief urges @realDonaldTrump to rethink his trade views https://t.co/AsgjclL9bn https://t.co/lwyHt0psr4",32,0,0,-83.3527097,42.36837
"89","al_xdpg","@realDonaldTrump https://t.co/gm2Mn0DrCD You are a model for all of us.",0,0,0,-95.712891,37.09024
"92","AlanTieuli","@OfficeGovEthics @realDonaldTrump What did I miss? Only thing Trump is totally divested from is basic human decency. #Trump #ImStillWithHer",0,2,2,-71.6022583,42.1744878
"93","AlanTieuli","@AndyPuzder @realDonaldTrump @USDOL Fast Food Exec serving a Reality TV Showman. The bar is so low slugs can't pass. #Trump #ImWithChuck",0,2,2,-71.6022583,42.1744878
"94","AlbertSteinII","@Evan_McMullin @HamiltonElector @realDonaldTrump Why would President Elect Trump want to say the name of an unknown fool from Utah",0,-1,1,-95.712891,37.09024
"95","Alex44589115","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: httpÖ",5266,1,1,-95.4171601,30.0799405
"96","alexmeshkin","""You canít Make America Great Again without veterans having great healthcare."" https://t.co/3zpxM2grle @realDonaldTrump @FlowHealthHQ",1,2,2,-122.4194155,37.7749295
"97","AlexSanz","Big business warns @realDonaldTrump against mass deportation. https://t.co/fE0H5aIZnH",1,0,0,-84.3879824,33.7489954
"100","AliceJackson09","RT @impressivSarah: Very pathetic that @realDonaldTrump made Goldman Sachs COO &amp; President part of his admin. Guess no #draintheswamp httpsÖ",25,-1,1,-81.5157535,27.6648274
"101","AliceJackson09","RT @nathanTbernard: So glad that Mr. @realDonaldTrump will #draintheswamp by adding Gary Cohn, Goldman Sachs COO &amp; Prez to his admin! httpsÖ",28,1,1,-81.5157535,27.6648274
"102","AliceJackson09","RT @impressivLinda: Very sad that @realDonaldTrump added Goldman Sachs COO to his admin. Wanted to give Trump a chance. Pathetic. https://tÖ",25,-1,1,-81.5157535,27.6648274
"103","AliceJackson09","RT @impressivLee: God, @realDonaldTrump is such a liar. Not going to #draintheswamp, Goldman President in admin. https://t.co/OtRgX6EWby",19,-1,1,-81.5157535,27.6648274
"104","AliceJackson09","RT @StephenColbart: Gary Cohn is COO &amp; President of Goldman Sachs. How exactly does that #draintheswamp @realDonaldTrump https://t.co/ecwn0Ö",29,0,0,-81.5157535,27.6648274
"106","alisonnorris","Hypocrisy at its finest #trump @realDonaldTrump @Lawrence #MorningJoe #conned https://t.co/GTgsTCLSC1",0,1,1,-119.4179324,36.778261
"108","ALLHANDSNY","Conway on Trump 'Apprentice' role: He'll do it in his spare time really @realDonaldTrump you don't read intelligence https://t.co/rPpHNWFVUi",0,1,1,-74.0059413,40.7127837
"110","AltoidAddict","RT @TomLevenson: Here's a solid-truth: @realDonaldTrump is a thug and a bully: https://t.co/15kvWjtRHM He remains unfit to be president. #TÖ",4,-3,3,-78.8783689,42.8864468
"111","AlyssaNewcomb","What would it take to stop @realdonaldtrump from having a Twitter outburst? https://t.co/7SexT2QIM0",0,-1,1,-122.4194155,37.7749295
"113","amazinmikey","@SenJeffMerkley @MaggieJordanACN @realDonaldTrump They won't. Neither will Trump. &amp; they will get away with it. This is our new ""democracy""",0,1,1,-85.6023643,44.3148443
"120","americanpaul202","RT @whiner12345: @mike_pence @realDonaldTrump @TIME I am so proud that Trump picked you as a running mate. Both of you give me hope and conÖ",1,2,2,-86.5804473,35.5174913
